inventory_number,album,table,subject,place,is_existing,author,directions,link,id,notes,latitude,longitude
219504,Album 7,69,Ponte delle Torri,Faenza,no,Romolo Liverani,Non più esistente,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205339#,205339,,,
219472,Album 7,36,Chiostro di Santa Chiara,Faenza,no,Romolo Liverani,ora assorbito nel complesso di piazza Rampi,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205259#,205259,,,
219601,Album 10bis,36,Cortile Case Manfredi,Faenza,si,Romolo Liverani,ora in forte degrado,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232005#,232005,,44.28396,11.88476
219609,Album 10bis,46,Villa Gessi,Faenza,,Romolo Liverani,Parco con angolo del lago di villa Gessi a Sarna,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=232047#,232047,,44.24956,11.84391
219485,Album 7,49,Borgo Durbecco,Faenza,,Romolo Liverani,Parte del Borgo Durbecco visto dalla Torretta,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205291#,205291,,,
1238,Album 8,6,Rocca di Brisighella,Brisighella,si,Romolo Liverani,Passaggio sotterraneo,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=230340#,230340,,44.22467,11.77073
219496,Album 7,61,Piazza del Vescovado,Faenza,si,Romolo Liverani,Piazzetta del Vescovado vista dal loggiato del Seminario,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205313#,205313,,,
219569,Album 10bis,4,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ponte delle torri di Faenza dopo la caduta del 1842,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231851#,231851,,44.28404,11.88775
219211,Album 6,67,Veduta della Porta detta della Candiana fuori del Borgo Durbecco Faenza,Faenza,no,Tancredi Liverani,Porta Candiana in Borgo,,,,,
219219,Album 6,81,Veduta degli avanzi del Quadrone dalla parte del Borgo Durbecco Faenza Porta della Candiana,Faenza,no,Tancredi Liverani,Porta del Quadrone in Borgo,,,,,
219220,Album 6,82,Veduta del Portico del Pozzo dei Frati Minori Osservanti Faenza,Faenza,no,Tancredi Liverani,Portico Osservanza,,,,,
219487,Album 7,52,Chiesa dell’Osservanza,Faenza,no,Romolo Liverani,precedente,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205297#,205297,,44.28025,11.87193
219488,Album 7,53,Chiesa dell’Osservanza,Faenza,no,Romolo Liverani,precedente,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205298#,205298,,44.28025,11.87193
219581,Album 10bis,16,Villa Gessi,Faenza,no,Romolo Liverani,precedente l'attuale,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231954#,231954,,44.24956,11.84391
219189,Album 6,38,Veduta del Portico della Chiesa della Osservanza in Faenza,Faenza,no,Tancredi Liverani,precedente l'attuale,,,,44.28025,11.87193
219190,Album 6,39,Faenza. Veduta della Facciata della Chiesa della Osservanza,Faenza,no,Tancredi Liverani,precedente l'attuale,,,,44.28025,11.87193
219192,Album 6,41,Portico della Chiesa della Osservanza Faenza,Faenza,no,Tancredi Liverani,precedente l'attuale,,,,44.28025,11.87193
219193,Album 6,42,Portico della Osservanza Faenza,Faenza,si,Tancredi Liverani,precedente l'attuale,,,,44.28025,11.87193
219198,Album 6,47,Veduta del Secondo Chiostro dei Frati della Osservanza,Faenza,si,Tancredi Liverani,precedente l'attuale,,,,44.28025,11.87193
219494,Album 7,59,Chiesa dei Cappuccini,Faenza,no,Romolo Liverani,"precedente l'attuale",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205306#,205306,,,
219438,Album 7,2,Villa Gessi,Faenza,no,Romolo Liverani,precedente l’attuale,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205136#,205136,"Veduta di giardino con salice piangente presso la Villa Gessi di Sarna, Faenza",44.24956,11.84391
219439,Album 7,3,Villa Gessi,Faenza,no,Romolo Liverani,precedente l’attuale,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205137#,205137,,44.24956,11.84391
219440,Album 7,4,Villa Gessi,Faenza,no,Romolo Liverani,precedente l’attuale,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=205138#,205138,,44.24956,11.84391
219280,Album 5,92,Convento dei Servi di Faenza,Faenza,si,Romolo Liverani,"Prospettiva di corridoio e scala presso il convento dei Servi di Faenza, Scorcio di corridoio presso il convento dei Servi di Faenza",https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=213192#,213192,,44.28433,11.88532
219279,Album 5,91,Convento dei Servi di Faenza,Faenza,si,Romolo Liverani,"Prospettiva di corridoio presso il convento dei Servi di Faenza.",https://bbcc.regione.emilia-romagna.it/samira/link/gyztcnrr,213126,,44.28433,11.88532
219281,Album 5,93,Convento dei Servi di Faenza,Faenza,si,Romolo Liverani,Prospettiva di ingresso a due porticati presso il convento dei Servi di Faenza.,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=213135#,213135,,44.28433,11.88532
219571,Album 10bis,6,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza dopo la caduta visti dal centro del fiume,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231904#,231904,,44.28404,11.88775
219572,Album 10bis,7,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dal borgo Durbecco,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231905#,231905,,44.28404,11.88775
219576,Album 10bis,11,crollo del Ponte delle Torri,Faenza,no,Romolo Liverani,Ruderi del ponte delle Torri di Faenza visti dal borgo Durbecco,https://bbcc.regione.emilia-romagna.it/pater/loadcard.do?id_card=231938#,231938,,44.28404,11.88775
